Horário,,trajeto 1,trajeto 2,trajeto 3,trajeto 4,trajeto 5,trajeto 6,trajeto 7,trajeto 8 , trajeto 9,trajeto 10,trajeto 11,trajeto 12,trajeto 13,trajeto 14,trajeto 15,trajeto 16,trajeto 17,trajeto 18,trajeto 19,trajeto 20,trajeto 21,trajeto 22,trajeto 23,trajeto 24,trajeto 25,trajeto 26,trajeto 27,mulher,calçada,total
06:00,06:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06:15,06:30,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,0,0,0,0,0,2,0,1,1,0,0,0,276
06:30,06:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,5
06:45,07:00,0,2,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,2,0,0,3,1,1,0,19
07:00,07:15,0,0,3,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,3,0,1,2,0,1,1,21
07:15,07:30,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,10
07:30,07:45,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,12
07:45,08:00,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
08:00,08:15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5
08:15,08:30,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,0,1,2,1,0,2,14
08:30,08:45,1,1,1,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,12
08:45,09:00,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8
09:00,09:15,1,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9
09:15,09:30,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
09:30,09:45,0,0,0,0,0,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11
09:45,10:00,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
10:00,10:15,0,0,0,0,0,2,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
10:15,10:30,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
10:30,10:45,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10:45,11:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11:00,11:15,0,2,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13
11:15,11:30,0,1,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,12
11:30,11:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11:45,12:00,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
12:00,12:15,0,0,0,1,0,3,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
12:15,12:30,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,5,15
12:30,12:45,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,13
12:45,13:00,0,0,2,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,2,15
13:00,13:15,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,10
13:15,13:30,0,0,0,0,0,2,3,0,0,0,1,0,1,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,3,17
13:30,13:45,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,9
13:45,14:00,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,8
14:00,14:15,0,1,0,1,0,2,2,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,14
14:15,14:30,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,7
14:30,14:45,3,0,0,0,0,2,3,0,0,0,1,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,4,20
14:45,15:00,0,2,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,11
15:00,15:15,0,3,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,15
15:15,15:30,0,1,0,3,0,4,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,14
15:30,15:45,1,0,1,0,0,1,3,0,0,0,1,0,2,0,0,0,1,0,2,3,0,0,0,0,0,0,0,1,2,18
15:45,16:00,1,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,11
16:00,16:15,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,11
16:15,16:30,5,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,6,3,0,0,0,0,0,0,0,1,7,30
16:30,16:45,1,1,0,0,0,1,3,0,0,0,1,0,2,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,16
16:45,17:00,0,0,1,1,0,3,8,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,3,27
17:00,17:15,1,0,1,0,0,1,4,0,0,0,1,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,18
17:15,17:30,2,0,3,0,0,2,5,0,0,0,0,0,2,0,0,3,4,2,1,8,0,0,0,0,0,0,0,0,4,36
