,,trajeto 1,trajeto 2,trajeto 3,trajeto 4,trajeto 5,trajeto 6,trajeto 7,trajeto 8,trajeto 9,trajeto 10,trajeto 11,trajeto 12,trajeto 13,trajeto 14,mulher,fora da faixa,cachorro,total
06:00,06:15,0,2,0,0,0,2,0,1,2,0,0,0,3,7,8,0,0,25
06:15,06:30,0,2,1,16,0,3,3,2,8,4,0,1,0,9,17,0,0,66
06:30,06:45,0,1,1,13,2,5,4,3,3,2,0,0,0,12,25,5,0,76
06:45,07:00,3,3,0,10,0,1,4,1,1,5,8,2,0,17,37,2,0,94
07:00,07:15,1,12,1,27,5,10,5,1,1,0,0,0,0,20,43,10,0,136
07:15,07:30,0,5,1,6,1,8,14,2,0,2,5,2,0,15,27,1,0,89
07:30,07:45,3,9,5,12,4,13,11,0,1,5,2,0,0,15,35,7,0,122
07:45,08:00,3,1,4,12,1,10,17,0,0,4,1,0,0,7,27,4,0,91
08:00,08:15,0,2,0,6,0,10,6,0,2,2,1,0,0,8,18,6,0,61
08:15,08:30,3,10,4,1,0,9,18,1,1,2,4,0,0,15,30,4,0,102
08:30,08:45,4,5,2,4,0,5,9,2,1,14,9,0,0,7,27,1,0,90
08:45,09:00,4,6,0,5,0,3,12,0,0,2,4,0,0,5,16,1,0,58
09:00,09:15,7,5,0,9,0,10,19,1,1,3,11,0,0,9,37,8,0,120
09:15,09:30,5,2,0,2,0,2,10,0,1,4,3,0,0,13,11,4,0,57
09:30,09:45,3,2,2,6,1,9,16,0,0,3,13,0,0,2,15,1,0,73
09:45,10:00,1,6,2,9,0,8,10,2,4,1,1,0,0,3,19,11,0,77
10:00,10:15,0,1,2,6,0,17,14,0,0,4,7,0,0,3,23,5,0,82
10:15,10:30,4,1,1,2,0,6,8,0,0,8,3,0,0,4,15,4,0,56
10:30,10:45,1,2,2,12,0,16,8,0,1,0,2,0,0,4,21,8,0,77
10:45,11:00,5,5,1,1,0,8,7,1,2,5,8,0,0,4,21,4,0,72
11:00,11:15,5,7,0,5,0,10,16,0,0,0,5,5,5,4,28,5,0,95
11:15,11:30,3,1,0,1,1,13,12,0,1,1,4,0,0,11,22,4,0,74
11:30,11:45,1,4,0,9,0,15,13,2,1,7,1,0,0,9,35,6,0,103
11:45,12:00,5,1,4,4,0,12,26,1,0,8,6,0,0,5,34,4,0,110
12:00,12:15,1,6,0,9,10,11,8,0,0,3,3,0,0,5,15,3,0,74
12:15,12:30,1,3,0,9,0,13,13,0,0,6,6,0,0,1,16,2,0,70
12:30,12:45,2,5,0,2,0,7,7,2,0,9,4,0,0,3,15,3,0,59
