"horario.inicial","horario.final","mulher","calcada","total","local"
"06:15","06:30","0","0",276,"burrinhos"
"06:30","06:45","1","0",4,"burrinhos"
"06:45","07:00","1","0",18,"burrinhos"
"07:00","07:15","1","1",19,"burrinhos"
"07:15","07:30","0","2",8,"burrinhos"
"07:30","07:45","0","0",12,"burrinhos"
"07:45","08:00","0","0",7,"burrinhos"
"08:00","08:15","0","1",4,"burrinhos"
"08:15","08:30","0","2",12,"burrinhos"
"08:30","08:45","0","1",11,"burrinhos"
"08:45","09:00","0","0",8,"burrinhos"
"09:00","09:15","0","1",8,"burrinhos"
"09:15","09:30","0","0",5,"burrinhos"
"09:30","09:45","1","1",9,"burrinhos"
"09:45","10:00","0","0",7,"burrinhos"
"10:00","10:15","0","0",11,"burrinhos"
"10:15","10:30","0","1",5,"burrinhos"
"10:30","10:45","0","0",5,"burrinhos"
"10:45","11:00","0","0",1,"burrinhos"
"11:00","11:15","0","2",11,"burrinhos"
"11:15","11:30","0","2",10,"burrinhos"
"11:30","11:45","0","0",0,"burrinhos"
"11:45","12:00","0","0",6,"burrinhos"
"12:00","12:15","0","1",13,"burrinhos"
"12:15","12:30","0","5",10,"burrinhos"
"12:30","12:45","0","3",10,"burrinhos"
"12:45","13:00","0","2",13,"burrinhos"
"13:00","13:15","0","1",9,"burrinhos"
"13:15","13:30","0","3",14,"burrinhos"
"13:30","13:45","0","2",7,"burrinhos"
"13:45","14:00","0","0",8,"burrinhos"
"14:00","14:15","0","2",12,"burrinhos"
"14:15","14:30","0","2",5,"burrinhos"
"14:30","14:45","1","4",15,"burrinhos"
"14:45","15:00","0","0",11,"burrinhos"
"15:00","15:15","2","2",11,"burrinhos"
"15:15","15:30","0","0",14,"burrinhos"
"15:30","15:45","1","2",15,"burrinhos"
"15:45","16:00","0","2",9,"burrinhos"
"16:00","16:15","0","0",11,"burrinhos"
"16:15","16:30","1","7",22,"burrinhos"
"16:30","16:45","0","1",15,"burrinhos"
"16:45","17:00","1","3",23,"burrinhos"
"17:00","17:15","0","3",15,"burrinhos"
"17:15","17:30","0","4",32,"burrinhos"
"17:30","17:45","0","1",18,"burrinhos"
"17:45","18:00","0","2",19,"burrinhos"
"18:00","18:15","0","1",14,"burrinhos"
"18:15","18:30","0","4",12,"burrinhos"
"18:30","18:45","0","6",9,"burrinhos"
"18:45","19:00","0","0",4,"burrinhos"
"19:00","19:15","1","0",7,"burrinhos"
"19:15","19:30","0","0",7,"burrinhos"
"19:30","19:45","0","0",3,"burrinhos"
"19:45","20:00","1","0",6,"burrinhos"
"20:00","20:15","0","0",1,"burrinhos"
"20:15","20:30","1","3",4,"burrinhos"
"20:30","20:45","0","0",0,"burrinhos"
"20:45","21:00","11","1",100,"burrinhos"
"","","24","81",955,"burrinhos"
"06:00","06:15","0","0",14,"jackson"
"06:15","06:30","0","0",40,"jackson"
"06:30","06:45","7","1",35,"jackson"
"06:45","07:00","7","0",29,"jackson"
"07:00","07:15","2","0",29,"jackson"
"07:15","07:30","3","0",31,"jackson"
"07:30","07:45","1","0",36,"jackson"
"07:45","08:00","0","0",22,"jackson"
"08:00","08:15","1","0",16,"jackson"
"08:15","08:30","2","0",23,"jackson"
"08:30","08:45","2","0",20,"jackson"
"08:45","09:00","3","0",16,"jackson"
"09:00","09:15","1","0",12,"jackson"
"09:15","09:30","0","0",11,"jackson"
"09:30","09:45","0","0",14,"jackson"
"09:45","10:00","2","0",15,"jackson"
"10:00","10:15","3","0",10,"jackson"
"10:15","10:30","0","0",4,"jackson"
"10:30","10:45","1","0",5,"jackson"
"10:45","11:00","0","0",8,"jackson"
"11:00","11:15","0","0",15,"jackson"
"11:15","11:30","0","0",7,"jackson"
"11:30","11:45","0","0",12,"jackson"
"11:45","12:00","0","0",6,"jackson"
"12:00","12:15","0","0",7,"jackson"
"12:15","12:30","0","0",4,"jackson"
"12:30","12:45","0","0",7,"jackson"
"12:45","13:00","0","0",8,"jackson"
"13:00","13:15","0","0",7,"jackson"
"13:15","13:30","0","0",8,"jackson"
"13:30","13:45","0","0",9,"jackson"
"13:45","14:00","0","0",11,"jackson"
"14:00","14:15","0","0",6,"jackson"
"14:15","14:30","0","0",2,"jackson"
"14:30","14:45","0","0",2,"jackson"
"14:45","15:00","0","0",5,"jackson"
"15:00","15:15","1","0",7,"jackson"
"15:15","15:30","1","1",8,"jackson"
"15:30","15:45","1","0",7,"jackson"
"15:45","16:00","0","0",7,"jackson"
"16:00","16:15","2","0",11,"jackson"
"16:15","16:30","5","0",23,"jackson"
"16:30","16:45","4","0",33,"jackson"
"16:45","17:00","11","0",49,"jackson"
"17:00","17:15","3","0",33,"jackson"
"17:15","17:30","6","0",32,"jackson"
"17:30","17:45","4","0",35,"jackson"
"17:45","18:00","6","0",26,"jackson"
"18:00","18:15","2","0",24,"jackson"
"18:15","18:30","7","0",19,"jackson"
"18:30","18:45","3","0",20,"jackson"
"18:45","19:00","2","0",20,"jackson"
"19:00","19:15","0","0",18,"jackson"
"19:15","19:30","0","1",21,"jackson"
"19:30","19:45","0","0",28,"jackson"
"19:45","20:00","2","0",25,"jackson"
"20:00","20:15","1","0",21,"jackson"
"20:15","20:30","0","0",7,"jackson"
"20:30","20:45","0","0",6,"jackson"
"20:45","21:00","0","0",6,"jackson"
"06:00","06:15","0","0",15,"bobs"
"06:15","06:30","0","0",31,"bobs"
"06:30","06:45","1","0",47,"bobs"
"06:45","07:00","4","0",33,"bobs"
"07:00","07:15","3","0",32,"bobs"
"07:15","07:30","2","0",18,"bobs"
"07:30","07:45","3","0",22,"bobs"
"07:45","08:00","3","0",20,"bobs"
"08:00","08:15","2","0",29,"bobs"
"08:15","08:30","1","0",8,"bobs"
"08:30","08:45","2","0",11,"bobs"
"08:45","09:00","2","0",16,"bobs"
"09:00","09:15","1","0",13,"bobs"
"09:15","09:30","1","0",9,"bobs"
"09:30","09:45","0","0",8,"bobs"
"09:45","10:00","0","0",13,"bobs"
"10:00","10:15","0","0",6,"bobs"
"10:15","10:30","0","0",6,"bobs"
"10:30","10:45","0","0",13,"bobs"
"10:45","11:00","1","0",13,"bobs"
"11:00","11:15","0","0",22,"bobs"
"11:15","11:30","0","0",6,"bobs"
"11:30","11:45","0","0",9,"bobs"
"11:45","12:00","0","0",13,"bobs"
"12:00","12:15","0","0",9,"bobs"
"12:15","12:30","0","0",10,"bobs"
"12:30","12:45","0","0",7,"bobs"
"12:45","13:00","0","0",16,"bobs"
"13:00","13:15","1","0",13,"bobs"
"13:15","13:30","0","0",9,"bobs"
"13:30","13:45","0","0",7,"bobs"
"13:45","14:00","0","0",10,"bobs"
"14:00","14:15","0","0",9,"bobs"
"14:15","14:30","0","0",4,"bobs"
"14:30","14:45","0","0",3,"bobs"
"14:45","15:00","0","0",10,"bobs"
"15:00","15:15","0","0",10,"bobs"
"15:15","15:30","1","0",10,"bobs"
"15:30","15:45","1","0",7,"bobs"
"15:45","16:00","4","0",14,"bobs"
"16:00","16:15","3","0",26,"bobs"
"16:15","16:30","7","0",30,"bobs"
"16:30","16:45","4","0",26,"bobs"
"16:45","17:00","3","0",46,"bobs"
"17:00","17:15","7","0",45,"bobs"
"17:15","17:30","9","0",43,"bobs"
"17:30","17:45","9","0",37,"bobs"
"17:45","18:00","4","0",36,"bobs"
"18:00","18:15","0","0",20,"bobs"
"18:15","18:30","1","0",19,"bobs"
"18:30","18:45","0","0",20,"bobs"
"18:45","19:00","0","0",16,"bobs"
"19:00","19:15","0","0",29,"bobs"
"19:15","19:30","1","0",25,"bobs"
"19:30","19:45","1","0",16,"bobs"
"19:45","20:00","2","0",17,"bobs"
"20:00","20:15","3","0",36,"bobs"
"20:15","20:30","0","0",4,"bobs"
"20:30","20:45","2","0",8,"bobs"
"20:45","21:00","0","0",1,"bobs"
