"horario.inicial","horario.final","local","onibus","caminhao","veiculos","carros","motos","motorizados","mulheres.ciclistas","calcada","ciclistas","mulheres.pedestres","fora.da.faixa","cachorro","pedestres","sustentaveis"
"06:00","06:15","bobs",0,0,30,30,33,63,"0","0",15,"46","0","5",97,112
"06:00","06:15","jackson",1,0,22,21,15,37,"0","0",14,"46","0","1",89,103
"06:15","06:30","bobs",1,3,55,51,47,102,"0","0",31,"64","0","2",144,175
"06:15","06:30","burrinhos",14,5,533,514,124,657,"0","0",276,"17","0","0",56,332
"06:15","06:30","jackson",5,2,37,30,32,69,"0","0",40,"70","0","3",134,174
"06:30","06:45","bobs",2,0,115,113,102,217,"1","0",47,"73","0","2",145,192
"06:30","06:45","burrinhos",10,7,439,422,216,655,"1","0",4,"25","5","0",54,58
"06:30","06:45","jackson",1,1,54,52,38,92,"7","1",35,"59","0","1",120,155
"06:45","07:00","bobs",0,0,170,170,134,304,"4","0",33,"62","0","2",138,171
"06:45","07:00","burrinhos",11,12,831,808,275,1106,"1","0",18,"37","2","0",63,81
"06:45","07:00","jackson",7,4,112,101,62,174,"7","0",29,"60","0","1",120,149
"07:00","07:15","bobs",1,0,187,186,145,332,"3","0",32,"64","0","1",125,157
"07:00","07:15","burrinhos",15,18,978,945,321,1299,"1","1",19,"43","10","0",91,110
"07:00","07:15","jackson",3,4,122,115,43,165,"2","0",29,"45","0","0",99,128
"07:15","07:30","bobs",0,1,157,156,103,260,"2","0",18,"61","0","3",120,138
"07:15","07:30","burrinhos",10,9,769,750,299,1068,"0","2",8,"27","1","0",69,77
"07:15","07:30","jackson",5,0,114,109,48,162,"3","0",31,"64","0","3",125,156
"07:30","07:45","bobs",0,2,141,139,89,230,"3","0",22,"54","0","4",110,132
"07:30","07:45","burrinhos",10,8,790,772,310,1100,"0","0",12,"35","7","0",88,100
"07:30","07:45","jackson",0,2,127,125,51,178,"1","0",36,"56","0","0",105,141
"07:45","08:00","bobs",0,2,150,148,155,305,"3","0",20,"36","0","2",97,117
"07:45","08:00","burrinhos",6,6,983,971,410,1393,"0","0",7,"27","4","0",68,75
"07:45","08:00","jackson",1,5,144,138,66,210,"0","0",22,"42","0","2",82,104
"08:00","08:15","bobs",0,1,166,165,115,281,"2","0",29,"32","0","1",96,125
"08:00","08:15","burrinhos",7,8,1113,1098,344,1457,"0","1",4,"18","6","0",45,49
"08:00","08:15","jackson",1,2,126,123,41,167,"1","0",16,"35","0","3",66,82
"08:15","08:30","bobs",0,6,172,166,73,245,"1","0",8,"36","0","2",76,84
"08:15","08:30","burrinhos",7,9,718,702,297,1015,"0","2",12,"30","4","0",76,88
"08:15","08:30","jackson",1,3,136,132,51,187,"2","0",23,"22","0","1",69,92
"08:30","08:45","bobs",0,3,123,120,120,243,"2","0",11,"14","0","0",39,50
"08:30","08:45","burrinhos",9,15,879,855,243,1122,"0","1",11,"27","1","0",70,81
"08:30","08:45","jackson",2,5,150,143,40,190,"2","0",20,"32","0","0",74,94
"08:45","09:00","bobs",0,4,162,158,56,218,"2","0",16,"16","0","0",32,48
"08:45","09:00","burrinhos",4,3,817,810,248,1065,"0","0",8,"16","1","0",49,57
"08:45","09:00","jackson",3,5,143,135,60,203,"3","0",16,"17","0","1",44,60
"09:00","09:15","bobs",1,1,132,130,51,183,"1","0",13,"3","0","0",14,27
