"horario.inicial","horario.final","mulher","fora.da.faixa","cachorro","total","local"
"06:00","06:15","46","0","1",89,"jackson"
"06:15","06:30","70","0","3",134,"jackson"
"06:30","06:45","59","0","1",120,"jackson"
"06:45","07:00","60","0","1",120,"jackson"
"07:00","07:15","45","0","0",99,"jackson"
"07:15","07:30","64","0","3",125,"jackson"
"07:30","07:45","56","0","0",105,"jackson"
"07:45","08:00","42","0","2",82,"jackson"
"08:00","08:15","35","0","3",66,"jackson"
"08:15","08:30","22","0","1",69,"jackson"
"08:30","08:45","32","0","0",74,"jackson"
"08:45","09:00","17","0","1",44,"jackson"
"09:00","09:15","17","0","0",49,"jackson"
"09:15","09:30","12","0","0",34,"jackson"
"09:30","09:45","10","0","0",30,"jackson"
"09:45","10:00","17","0","0",39,"jackson"
"10:00","10:15","8","0","0",22,"jackson"
"10:15","10:30","7","0","0",19,"jackson"
"10:30","10:45","6","0","0",28,"jackson"
"10:45","11:00","9","0","0",22,"jackson"
"11:00","11:15","8","0","0",28,"jackson"
"11:15","11:30","2","0","0",10,"jackson"
"11:30","11:45","23","0","0",41,"jackson"
"11:45","12:00","7","0","0",24,"jackson"
"12:00","12:15","10","0","0",18,"jackson"
"12:15","12:30","2","0","0",16,"jackson"
"12:30","12:45","2","0","0",19,"jackson"
"12:45","13:00","2","0","0",5,"jackson"
"13:00","13:15","4","0","0",14,"jackson"
"13:15","13:30","24","0","0",42,"jackson"
"13:30","13:45","10","0","1",26,"jackson"
"13:45","14:00","5","0","0",14,"jackson"
"14:00","14:15","11","0","0",19,"jackson"
"14:15","14:30","10","0","0",23,"jackson"
"14:30","14:45","12","0","0",20,"jackson"
"14:45","15:00","15","0","0",29,"jackson"
"15:00","15:15","4","0","0",24,"jackson"
"15:15","15:30","5","0","0",19,"jackson"
"15:30","15:45","11","0","0",29,"jackson"
"15:45","16:00","17","0","0",50,"jackson"
"16:00","16:15","9","0","0",48,"jackson"
"16:15","16:30","39","0","0",110,"jackson"
"16:30","16:45","53","0","0",121,"jackson"
"16:45","17:00","63","0","0",133,"jackson"
"17:00","17:15","53","0","0",186,"jackson"
"17:15","17:30","83","0","0",224,"jackson"
"17:30","17:45","73","0","0",207,"jackson"
"17:45","18:00","75","0","0",241,"jackson"
"18:00","18:15","56","0","0",191,"jackson"
"18:15","18:30","77","0","0",212,"jackson"
"18:30","18:45","60","0","0",199,"jackson"
"18:45","19:00","82","0","0",223,"jackson"
"19:00","19:15","66","0","0",200,"jackson"
"19:15","19:30","63","0","0",176,"jackson"
"19:30","19:45","63","0","0",171,"jackson"
"19:45","20:00","40","0","0",124,"jackson"
"20:00","20:15","25","0","0",91,"jackson"
"20:15","20:30","23","0","0",80,"jackson"
"20:30","20:45","24","0","0",64,"jackson"
"20:45","21:00","17","0","0",54,"jackson"
"06:00","06:15","8","0","0",26,"burrinhos"
"06:15","06:30","17","0","0",56,"burrinhos"
"06:30","06:45","25","5","0",54,"burrinhos"
"06:45","07:00","37","2","0",63,"burrinhos"
"07:00","07:15","43","10","0",91,"burrinhos"
"07:15","07:30","27","1","0",69,"burrinhos"
"07:30","07:45","35","7","0",88,"burrinhos"
"07:45","08:00","27","4","0",68,"burrinhos"
"08:00","08:15","18","6","0",45,"burrinhos"
"08:15","08:30","30","4","0",76,"burrinhos"
"08:30","08:45","27","1","0",70,"burrinhos"
"08:45","09:00","16","1","0",49,"burrinhos"
"09:00","09:15","37","8","0",83,"burrinhos"
"09:15","09:30","11","4","0",50,"burrinhos"
"09:30","09:45","15","1","0",65,"burrinhos"
"09:45","10:00","19","11","0",55,"burrinhos"
"10:00","10:15","23","5","0",62,"burrinhos"
"10:15","10:30","15","4","0",45,"burrinhos"
"10:30","10:45","21","8","0",56,"burrinhos"
"10:45","11:00","21","4","0",55,"burrinhos"
"11:00","11:15","28","5","0",72,"burrinhos"
"11:15","11:30","22","4","0",56,"burrinhos"
"11:30","11:45","35","6","0",70,"burrinhos"
"11:45","12:00","34","4","0",80,"burrinhos"
"12:00","12:15","15","3","0",64,"burrinhos"
"12:15","12:30","16","2","0",60,"burrinhos"
"12:30","12:45","15","3","0",49,"burrinhos"
"12:45","13:00","28","7","0",68,"burrinhos"
"13:00","13:15","27","3","0",72,"burrinhos"
"13:15","13:30","26","2","0",66,"burrinhos"
"13:30","13:45","23","2","0",63,"burrinhos"
"13:45","14:00","20","2","0",61,"burrinhos"
"14:00","14:15","10","6","0",58,"burrinhos"
"14:15","14:30","23","3","0",57,"burrinhos"
"14:30","14:45","23","1","0",62,"burrinhos"
"14:45","15:00","26","7","0",68,"burrinhos"
"15:00","15:15","28","7","0",64,"burrinhos"
"15:15","15:30","41","4","1",78,"burrinhos"
"15:30","15:45","22","5","0",56,"burrinhos"
"15:45","16:00","40","1","0",78,"burrinhos"
"16:00","16:15","40","9","0",85,"burrinhos"
"16:15","16:30","37","2","0",98,"burrinhos"
"16:30","16:45","45","6","0",97,"burrinhos"
"16:45","17:00","40","1","0",107,"burrinhos"
"17:00","17:15","55","4","0",128,"burrinhos"
"17:15","17:30","36","1","0",122,"burrinhos"
"17:30","17:45","32","2","0",125,"burrinhos"
"17:45","18:00","28","0","0",101,"burrinhos"
"18:00","18:15","54","6","0",129,"burrinhos"
"18:15","18:30","47","0","0",105,"burrinhos"
"18:30","18:45","31","5","0",79,"burrinhos"
"18:45","19:00","35","3","1",84,"burrinhos"
"19:00","19:15","25","4","0",62,"burrinhos"
"19:15","19:30","4","0","0",32,"burrinhos"
"19:30","19:45","11","1","0",38,"burrinhos"
"19:45","20:00","9","5","0",42,"burrinhos"
"20:00","20:15","6","3","1",31,"burrinhos"
"20:15","20:30","5","0","1",23,"burrinhos"
"20:30","20:45","4","1","0",23,"burrinhos"
"20:45","21:00","7","9","0",32,"burrinhos"
"06:00","06:15","46","0","5",97,"bobs"
"06:15","06:30","64","0","2",144,"bobs"
"06:30","06:45","73","0","2",145,"bobs"
"06:45","07:00","62","0","2",138,"bobs"
"07:00","07:15","64","0","1",125,"bobs"
"07:15","07:30","61","0","3",120,"bobs"
"07:30","07:45","54","0","4",110,"bobs"
"07:45","08:00","36","0","2",97,"bobs"
"08:00","08:15","32","0","1",96,"bobs"
"08:15","08:30","36","0","2",76,"bobs"
"08:30","08:45","14","0","0",39,"bobs"
"08:45","09:00","16","0","0",32,"bobs"
"09:00","09:15","3","0","0",14,"bobs"
"09:15","09:30","7","0","1",19,"bobs"
"09:30","09:45","13","0","0",34,"bobs"
"09:45","10:00","5","0","1",16,"bobs"
"10:00","10:15","5","0","0",16,"bobs"
"10:15","10:30","5","0","0",16,"bobs"
"10:30","10:45","3","0","0",15,"bobs"
"10:45","11:00","11","0","0",30,"bobs"
"11:00","11:15","13","0","0",64,"bobs"
"11:15","11:30","2","0","0",9,"bobs"
"11:30","11:45","4","0","0",22,"bobs"
"11:45","12:00","1","0","0",10,"bobs"
"12:00","12:15","11","0","0",29,"bobs"
"12:15","12:30","6","0","0",20,"bobs"
"12:30","12:45","8","0","0",27,"bobs"
"12:45","13:00","17","0","0",33,"bobs"
"13:00","13:15","6","0","0",32,"bobs"
"13:15","13:30","18","0","0",53,"bobs"
"13:30","13:45","12","0","0",24,"bobs"
"13:45","14:00","2","0","0",14,"bobs"
"14:00","14:15","11","0","0",27,"bobs"
"14:15","14:30","16","0","0",38,"bobs"
"14:30","14:45","11","0","0",24,"bobs"
"14:45","15:00","7","0","2",24,"bobs"
"15:00","15:15","15","0","0",33,"bobs"
"15:15","15:30","9","0","0",26,"bobs"
"15:30","15:45","20","0","0",68,"bobs"
"15:45","16:00","33","0","0",83,"bobs"
"16:00","16:15","59","0","0",174,"bobs"
"16:15","16:30","38","0","0",97,"bobs"
"16:30","16:45","24","0","0",80,"bobs"
"16:45","17:00","81","0","0",184,"bobs"
"17:00","17:15","116","0","0",242,"bobs"
"17:15","17:30","82","0","5",202,"bobs"
"17:30","17:45","113","0","4",285,"bobs"
"17:45","18:00","79","0","5",211,"bobs"
"18:00","18:15","86","0","0",202,"bobs"
"18:15","18:30","79","0","0",224,"bobs"
"18:30","18:45","69","0","0",193,"bobs"
"18:45","19:00","60","0","0",203,"bobs"
"19:00","19:15","64","0","0",198,"bobs"
"19:15","19:30","52","0","0",154,"bobs"
"19:30","19:45","39","0","0",132,"bobs"
"19:45","20:00","22","0","0",100,"bobs"
"20:00","20:15","14","0","0",66,"bobs"
"20:15","20:30","9","0","0",54,"bobs"
"20:30","20:45","15","0","0",52,"bobs"
"20:45","21:00","11","0","0",39,"bobs"
